id,text,date,isheader,noadvert
0003a504-851a-548f-9f93-e90890e16bb2/a1,"2. Montag den 3ten Dec. 1804 und folgende, wird das, Herrn Johannes Grüninger dem Täg, wird man in der St. Albanvorstadt zum schönen Eck freywillig aufruffen und hand Hausrath, Silber-Zinn-Oehr und Kupfergeschirr wie auch dito Eisen u. Sturz, Porcelain, Fayence, Mayolica und Erden- Geschirr, wie auch sehr schönes Leinen- Blunder und Bettwerk, nußbaumene und lannene Kästen und Commoden, Kuche- känsterlein mit und ohne Glasthüren, schöne Spegel mit vergoldten und schwarzen Rah- men, gefütterte und ungefütterte Sessel und Fauteuils, doppelte und einfache Jagd- flinten und Kugelbüchsen, Pulver, Schrot und Weidsack, eine grosse Parthie Bauch geschirr und andere Sachen mehr; ferner hördte, 5 Taffent-Stühl samt Zugehördte. wird E. E. Publikum angezeigt, daß be- meldte Behausung zum schönen eck, zwey Tag vor Beendigung der Gant freywillig wird aufgeruffen und dem M istbietenden wird überlassen werden; bemeldte Behau- sung kann von Anfang der Gant, täglich von 2 bis 4 Uhr besichtiget werden; den sten December wird durch das Wochen- blatt angezeigt werden, in was bem-ldte Behausung besteht, wie auch der Tag und Stund des Aufrufs. Basel den 20 Winterm. 1804. 7. Rischacher als Gantmeister.","1804-11-22","",""
0003a504-851a-548f-9f93-e90890e16bb2/a10,"9. Donnerstags den 22. Nov. nächstkünftig wird man auf dem Richthaus im mindern Basel gegen baare Bezahlung aufruffen und verganten: eine Parthey Weiberkleider und Leibsangehörden, Geschirr, Bettwerk, Leinenzeug, Hausrath und Hölzenwerk und anderes mehr. Lasel den 13. Nov. 1804. Gerichtschreiberey des mindern Basels.","1804-11-22","",""
0003a504-851a-548f-9f93-e90890e16bb2/a11,"Fruchtpreis. Fr. Btz. R. Fr. Btz. R. 17 21 Kernen Mittelpreis 19 3 Gersten 8 4 oder B. ß. H. B. ß. H. Kernen 14 3 4 bis 18 Mittelpreis 161 8   Dig  -anmen Gersten B r o d-T a r. Für das E Haus-Brod 11 Rappen. schwarz Brod 9 Rappen. Den 21ten Wintermonat 1804. T. Kanzley der Stadt Basel.","1804-11-22","","1"
0003a504-851a-548f-9f93-e90890e16bb2/a2,"In Folge erhaltener Bewilligung E. E. Stadt-Raths, und von diesem bey E. E. W. W. Kantonsrath eingeholter Erlaubnuß vom 28 July, wird E. Löbl. Inspektion des allhiesigen Waysenhauses, auf Montag den 26ten dieß, Vormittag um 9 Uhr in dem Wirthshaus zum Rößlein in Mut ten;, folgende in dasigem Bahn gelegene Lieg nschaften, äffentlich aufeuffen und ver- kaufen. 1) Ein Stück Matten im Löchlein Boden, in zwey Theilen von circa; Juchar- ten und 13 Ruthen und 4 Juch. u. 15 R. 2) Ein dito im Löchlein-Rain in vier Theil von 4 Juch. 15 R. . 4 Juch. 15 Ruth. 4 Juch. 2 R. und; Juch. 2 R. 3) Ein dito die Sandmatten in drey Theil, davon ein jedes 4 Juch. und 2 R. haltet, und 4) Ein dito im Hoof oder auf dem Brühl, in fünf Theilen, davon das nächste am Hoof Fabrike befindliche Geblude und sonstige circa 4 Juch. und 5 Ruth. das darneben 4 Juch. u. 3 R. neben diesem; Juch u. 2 R.  vornen dran ; Juch. und das ehnet dem ausgesteckten Weg; Juch. u. 3 Ruth. alles  Basel Maas haltet, und zwar unter folgen-  den Bedingnissen, daß der Kaufschilling in Neuen französischen Thalern zu vierzig Batz. in 12 auf einander folgenden Jahrs. Terminen, vom Tag der Vergantung an Wohnhausern der Fabrit-Besitzer eine Fahr- bezahlt, und bis zur gänzlichen Abbezahlung zu Vier vom Hundert alljährlich, und zwar das erstemal auf den kommenden 2 8ten Nov. 1865. richtig verzinßt, und für die drey ersten Termine zwey anständige Bürgen gestellt werden, wobey jedoch jenen Käu- fern, welche früher zu bezahlen wünschen, so ch s undenommen seyn solle.","1804-11-22","",""
0003a504-851a-548f-9f93-e90890e16bb2/a4,"4. Nächstkünftigen Samstag den 24ten dieses, Nachmittags zweschen zwey und drey Uhr, Weißbeck seel zuständig gewesene, in un- gefähr vier Jucharten Reben und Mattland gegen baare Bezahlung verganten: Aller- bestehende, in denen vordern Neusätzen vor dem Eschemer-Thor gelegene Stück Gut, an dem Oet selbsten, freywillig aufgeruffen und dem Meistbietenden unter denen by der Gant zu eröffnenden Bedingnissen über- lassen werden; indessen kann man dieses Gut täglich besichtigen, und ist sich deßhalb  bey der Wittwe No. 1003 nächst dem Eschenthor anzumelden.","1804-11-22","",""
0003a504-851a-548f-9f93-e90890e16bb2/a5,"5. Samstags den 1ten Oecember, Vormit- tags 10 Uhs sollen die - in Seidenweber Anbreas Usters zu Grenzach Gant-Massa gehölige 5 Maschinen-Stühl samt Zuge- ungefähr 20 Saum weisser und 7 Saum rother neuer Grenzacher Wein vom besten Gewächs, unter annehmlichen Belingun- gen im offentlichen Aufstreich an den Meist- bietenden verkauft werden Nachmittags darauf um 2 Uhr wird man die Usterische von Stein aufgeführte zweystöckige Be- hausung, versteigern. Die Kaufslustigen, müssen sowohl wegen ihrer Aufführung als des Vermögens halber glaubwürdige Zeug- nisse mitbringen, und können die Behau- sung u. Maschinen-Stühl täglich in Grenzach, in Augenschein nehmen. Auch werden sämtl. Usterische Herrn Creditoren ersucht, gesag- ter Versteigerung in dem Ort Grenzach anwohnen zu wollen. Grenzach den 20. Nov 1804. Do bel, Ober-Amti. Commissarius.","1804-11-22","",""
0003a504-851a-548f-9f93-e90890e16bb2/a6,"6 Dienstags den 4ten December nächst- künftig, Nachmittags, werden die in Hr. Joh Jakob Sägisser, des Schneiders seel. Verlassenschaft gehörigen zwo Behausungen, als: No. 429 samt Hoofstatt und Gärt, 5 lein auf dem Heuberg, einseits neben Frau Wittib Holzach geb. Iselin, anderseits ne- ben Mstr. Joh. Georg Meyer, dem Schuh- macher und Bannwarth gelegen, hinten an den innern Stadtgraben stossend; so- dann No. 460 samt Hoofstatt ꝛc. hinterm Spahlen-Thurn, zwischen Hr. Alt-Grh. Breiting und dem Kalkhof liegend, unter denen aledann anzuzeigenden Bedingnisseng und zwär in der ersten Behausung auf dem Heuberg, öffentlich aufgeruffen und dem Meistbietenden überlassen werden; die Steigerung nimmt präcis um 2 Uhr ihren Anfang. Die Besichtigung beyder Häuser steht denen Liebhabern während den drey leisten Tagen vor der Gant offen, doch sind sie ersucht, sich vorher bey Not. Her- zog desfalls anzumelden.","1804-11-22","",""
0003a504-851a-548f-9f93-e90890e16bb2/a8,"7. Freytag den 23ten Wintermonat Morgens um 10 Uhr, wird man auf dem Roßmarkt gegen baare Bezahlung öffentlich versteigern: die dem Lehnkutscher Friedrich Hägelin zu- ständig gewesene viersitzige Kutschen, ein  Chaisenkasten, ein brauchbares Kutschen- pferd, allerhand Pferdgeschirr, und sodann im Ballenhaus dessen Kleider und Leibs- angehörden. 1. Gerichtschreiberey des mehrern Basels.","1804-11-22","",""
0003a504-851a-548f-9f93-e90890e16bb2/a9,"8. F. eytags am 23ten dieses Monats Nov. Nachmittags um zwey Uhr wird die äusserst wohlgelegne und zu mehrern Gewerben be- sonders dienliche mit einem schönen gewölb-  ten Keller versehne Wettsteinische Behau- sung am Bäumlein No. 1196 in dem Haus selbst unter den bey der Gant zu eröffnen- den Bedingnissen öffentlich aufgeruffen und dem Meistbietenden überlassen werden. Nach beschehener Hausgant wird eben da- selbst eine extra gute grosse Waage, eine  Parthey Eisengewicht in halben Centner- zn steinen, auch Mößing-Gewicht, kleinere Waagen und Goldwäglein, dann verschiedne Tafeln, um baare Bezahlung versteigert werden. Diejenigen Herren Liebhaber, welche diese Behausung zu besichtigen Luft haben, belieben sich nun zu jeder Zeit auf dem Bureau von Lict. Gysendörffer in No. 1651 gefällig anzumelden.","1804-11-22","",""
00401830-44a6-5608-9f4a-16e1c304e371/a0,"35. Ein noch in recht gutem Stand besind- liches kupfern Schiflein so grosser Züber Wasser haltet.","1804-10-25","",""
