id,text,adcontent,adtype,finance,keyword,date
27753228-1064-5aae-8e48-2a4e88742712/a1,"2. Ein Losament zum Sod-Eck am Baümlein mit einem Laden und Ladenstuben, Keller, Kuche und einer Kammer und ist sich deßhalben bey Hrn. Frantz Hersperger Thorwart unterm St. Johann-Thor zu melden. ","08immo","01biete","02miete","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a10," Im Berichthaus ist zu sehen und in billichem Preis zu haben, ein so gut als neues moden farbes Mannenkleid für eine mittelmäßige Persohn. Item: Eine rothe Veste, und ein tüchener neuer Basel-Hut. ","01textilien","01biete","01kauf","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a11,"18. Eine gute junge Kuh, welche in 9. Wochens kalbern wird, im Berichthaus ohne Entgeld zu erfragen. ","07tier","01biete","01kauf","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a12,"7. Bey Herrn Daniel Scholer an der Freyenstraß ist dermahlen von dem besten Alicante Wein zu haben. ","03lebensmittel","01biete","01kauf","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a13,"16. Item ist allda zu sehen und in billichem Preis zu haben : Ein schwartzer Rock für eine mittelmäßige Manns-Person ; Ein gezogene Flinte mit einem Baionet: Ein modenfarber berocanener Mantel noch so gut, als neu: Item gute schwartze Dinten à 16. bz. die Maas; wie auch gerosteter Levantischer Caffee à 1. bz. das Loth. ","01textilien,03lebensmittel,06ding","01biete","01kauf","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a14,"5. Im Berichthaus ist zu haben vom besten Burgunderwein à 30. kr. die Bouteille, Item Vin de S. Péret, de Cote rotie, und de Muscati blanc & rouge à 40. kr. die Bouteille; Item veritablen holländischen Rauch-Taback. ","03lebensmittel","01biete","01kauf","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a15,"21. Weyl. Hrn. Leonhard Vesten des Metzgers seel. hinterlassene Behausung auf dem Heuberg einseits der Kellerischen Frau Wittib, anderseits Herrn Johannes Stickelberger gelegen samt dazu gehörigen Scheuer Stallung und Garten. Item dessen hinterlassene ohngefehr 3. und ein halbe Jucharten Reben und Matten vor dem St. Paul-Thor einseits neben Hrn. Peter Brand dem Seckler, anderseits Hrn. Hieronimus David dem Metzger gelegen, und ist sich wegen diesen beyden Stucken bey Herrn Hieronimus Burckhardt dem Rothgerder im Mindern Basel anzumelden; auch können die Herren Liebhaber eines freyen Kauffs versichert seyn. ","08immo","01biete","01kauf","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a16,"3. Eine gantze Behausung an der vordern Steinen nen mit einem Höflein und Hinterthür undf ist sich deßhalben anzumelden bey Mstr. Rudolf Bientz dem Grieser daselbst. ","","01biete","02miete","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a2,"1. In einem der wohlgelegensten Haüsern in Franckfurt ist in bevorstehender Oster- und folgenden Messen ein schoner grosser Laden nebst Comptoir &c. zu verleihen, bey weme das mehrere alhier deßhalben zu vernehmen ist in dem Berichthaus zu erfragen ","08immo","01biete","02miete","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a3,"Ein halb Dutzend noch wohl conditionirte Sessel mit gefütterten Sitzen. ","02hausrat","02suche","01kauf","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a4,"Dr. Martin Luthers auserlesene kleine Schriften zusammen getragen von Joh. Jacob Rambach. Jena bey Joh. Friedrich Rittern 1729. Wer dieses Buch hat, beliebe dasselbe Hrn. Scholer dem Buchbinder nebst dem aussersten Preis zu senden. ","05drucksachen","02suche","01kauf","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a5,"3. Ein Freund sucht den sogenannten Hinckenden Botten frantzösisch vom ersten Jahr an, da er ist angefangen worden bis 1754. von jedem Jahr ein Eremplar; wer solche hat beliebe es im Berichthaus anzuzeigen, allwo er den Liebhaber gratis vernehmen kan ","05drucksachen","02suche","01kauf","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a6,"2. Ein guter und sauberer Ridingcont für eine mittelmäßige Persohn um billichen Preis mußte aber nicht zu lang anstehen. ","01textilien","02suche","01kauf","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a7,"1. Ein Gufern-Küstlein von weissem Blech. ","06ding","02suche","01kauf","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a8,"22. Zwey Stucklein-Faß in Eysen gebunden, jedes 12. Saum haltend. ","06ding","01biete","01kauf","0","1754-01-03"
27753228-1064-5aae-8e48-2a4e88742712/a9,"20. Bey Mstr Johann Rudolf Langmeßler dem Schneider bey der Tiefe sind ertra saubere Caput ","01textilien","01biete","01kauf","0","1754-01-03"
2cc7942f-c26d-577b-91b9-658a21a61a41/a1,"4. Es wäre jemand gesinnet auf bevorstehendes Neues Jahr gel. GOtt Knaben und Töchterlein in der Rechenkunst anzuweisen, und weilen es die Erfahrung täglich lehret, daß gar vielen Anfängern von der Jugend in der Rechenkunst die grossen und schweren Rechnungen zu schwer fallen; als findet derselbe für gut und rathsam bey der Jugend in dieser Kunst folgenden Unterscheid zu machen. Wie man 1. mit Knaben und Töchterlein von 8. bis 10. Jahren die Arithmeticam puerilem gleichsam auf eine kindische und leichte Art in Erempeln beschrieben durchgehen solle. 2. Wie man mit Grössern von 10. bis 13. Jahren so wohl in einfältigen, als etwas schwereren Erempeln die Arithmeticam juhenelem vornehmen könne: Endlich 3. wie man denenjenigen von 13 bis 15. Jahren schwere und männliche Eremvel vortragen solle; solten nun Eltern ihre Kinder auf solche Art unterweisen zu lassen gesinnet seyn, so können sie durch das Berichthaus deßhalben das mehrere erfahren. ","10arbeitsstelle","02suche","","0","1754-01-03"
2cc7942f-c26d-577b-91b9-658a21a61a41/a10,"Ein Freund suchet Compagnie in einer Chaise oder zu Pferdt Anfangs dieses Jahrs nach Zürich und Schafhausen zu reisen, wer davon profitiren will, wolle sich ehestens declarien, damit die Vo fure kan bestellt werden. ","16transport","02suche","","0","1754-01-03"
