"";"document";"selection";"politeness";"service";"quality";"fashion"
"1";"groundtruth1734.csv.36";0;0;0;0;0
"2";"groundtruth1734.csv.37";0;0;0;0;1
"3";"groundtruth1734.csv.38";0;0;0;1;0
"4";"groundtruth1734.csv.39";0;0;0;2;0
"5";"groundtruth1734.csv.94";0;0;0;0;0
"6";"groundtruth1734.csv.95";0;0;0;0;0
"7";"groundtruth1734.csv.156";0;0;0;0;0
"8";"groundtruth1734.csv.170";0;0;0;0;0
"9";"groundtruth1734.csv.224";0;0;0;0;0
"10";"groundtruth1734.csv.225";0;0;0;0;0
"11";"groundtruth1734.csv.251";0;0;0;2;0
"12";"groundtruth1734.csv.255";0;0;0;0;0
"13";"groundtruth1734.csv.288";0;0;0;3;0
"14";"groundtruth1734.csv.304";0;0;0;1;0
"15";"groundtruth1734.csv.309";0;0;0;2;0
"16";"groundtruth1734.csv.319";0;0;0;0;1
"17";"groundtruth1734.csv.325";0;0;0;1;1
"18";"groundtruth1734.csv.326";0;0;0;1;0
"19";"groundtruth1734.csv.332";0;0;0;0;0
"20";"groundtruth1734.csv.333";0;0;0;2;0
"21";"groundtruth1734.csv.337";0;0;0;0;0
"22";"groundtruth1734.csv.341";0;0;0;1;0
"23";"groundtruth1734.csv.386";0;0;0;1;0
"24";"groundtruth1734.csv.390";0;0;0;0;1
"25";"groundtruth1734.csv.395";0;0;0;1;0
"26";"groundtruth1734.csv.396";0;0;0;0;0
"27";"groundtruth1734.csv.400";0;0;0;0;1
"28";"groundtruth1734.csv.406";0;0;0;1;1
"29";"groundtruth1734.csv.414";0;0;0;0;0
"30";"groundtruth1734.csv.417";0;0;0;0;0
"31";"groundtruth1734.csv.419";0;0;0;1;0
"32";"groundtruth1734.csv.436";0;0;0;1;0
"33";"groundtruth1734.csv.438";0;0;0;2;0
"34";"groundtruth1734.csv.469";0;0;0;1;0
"35";"groundtruth1734.csv.479";0;0;0;0;1
"36";"groundtruth1734.csv.484";0;0;0;0;0
"37";"groundtruth1734.csv.492";0;0;0;1;0
"38";"groundtruth1734.csv.493";0;0;0;2;0
"39";"groundtruth1734.csv.497";0;0;0;0;0
"40";"groundtruth1734.csv.506";0;1;0;1;0
"41";"groundtruth1734.csv.507";0;0;0;0;0
"42";"groundtruth1734.csv.528";0;0;0;1;0
"43";"groundtruth1734.csv.541";0;0;0;1;0
"44";"groundtruth1734.csv.566";0;1;0;1;0
"45";"groundtruth1734.csv.567";0;0;0;0;0
"46";"groundtruth1734.csv.584";0;0;0;1;0
"47";"groundtruth1734.csv.616";0;0;0;1;0
"48";"groundtruth1734.csv.631";0;0;0;3;2
"49";"groundtruth1734.csv.668";0;0;0;0;0
"50";"groundtruth1734.csv.669";0;0;0;0;0
"51";"groundtruth1734.csv.674";0;0;0;0;0
"52";"groundtruth1734.csv.675";0;0;0;1;1
"53";"groundtruth1734.csv.676";0;0;0;0;0
"54";"groundtruth1734.csv.679";0;0;0;0;0
"55";"groundtruth1734.csv.700";0;0;0;0;0
"56";"groundtruth1734.csv.702";0;0;0;3;2
"57";"groundtruth1734.csv.730";0;0;0;1;0
"58";"groundtruth1734.csv.741";0;0;0;0;0
"59";"groundtruth1734.csv.742";0;0;0;0;0
"60";"groundtruth1734.csv.746";0;0;0;0;0
"61";"groundtruth1734.csv.759";0;0;0;0;0
"62";"groundtruth1734.csv.760";0;0;0;1;0
"63";"groundtruth1734.csv.767";0;0;0;0;0
"64";"groundtruth1734.csv.825";0;0;0;0;1
"65";"groundtruth1734.csv.826";0;0;0;0;0
"66";"groundtruth1734.csv.867";0;0;0;0;1
