"";"document";"selection";"politeness";"service";"quality";"fashion"
"1";"groundtruth1834.csv.9";1;0;0;1;0
"2";"groundtruth1834.csv.61";1;0;2;3;0
"3";"groundtruth1834.csv.65";0;0;0;2;0
"4";"groundtruth1834.csv.68";0;0;0;1;0
"5";"groundtruth1834.csv.74";0;3;1;3;1
"6";"groundtruth1834.csv.75";2;1;0;2;2
"7";"groundtruth1834.csv.197";1;3;1;2;0
"8";"groundtruth1834.csv.214";0;0;0;0;0
"9";"groundtruth1834.csv.221";0;0;0;1;0
"10";"groundtruth1834.csv.271";1;0;0;0;3
"11";"groundtruth1834.csv.272";0;0;0;0;0
"12";"groundtruth1834.csv.276";0;0;0;1;1
"13";"groundtruth1834.csv.279";2;0;0;4;1
"14";"groundtruth1834.csv.286";0;0;0;0;0
"15";"groundtruth1834.csv.287";1;0;2;3;0
"16";"groundtruth1834.csv.288";0;0;0;2;0
"17";"groundtruth1834.csv.291";0;0;0;1;0
"18";"groundtruth1834.csv.298";2;1;0;2;2
"19";"groundtruth1834.csv.304";1;0;0;1;0
"20";"groundtruth1834.csv.413";0;0;0;0;0
"21";"groundtruth1834.csv.420";0;0;0;0;0
"22";"groundtruth1834.csv.441";0;0;0;1;0
"23";"groundtruth1834.csv.500";1;0;0;2;1
"24";"groundtruth1834.csv.503";0;0;0;0;0
"25";"groundtruth1834.csv.506";0;0;0;0;1
"26";"groundtruth1834.csv.508";0;0;0;0;0
"27";"groundtruth1834.csv.509";0;0;0;1;0
"28";"groundtruth1834.csv.510";1;2;0;1;0
"29";"groundtruth1834.csv.513";0;0;0;0;0
"30";"groundtruth1834.csv.515";1;3;1;2;0
"31";"groundtruth1834.csv.518";0;0;0;0;0
"32";"groundtruth1834.csv.522";0;0;0;1;1
"33";"groundtruth1834.csv.525";2;0;0;4;1
"34";"groundtruth1834.csv.527";0;0;0;0;0
"35";"groundtruth1834.csv.530";0;1;0;1;1
"36";"groundtruth1834.csv.533";0;0;0;0;0
"37";"groundtruth1834.csv.630";1;2;3;2;2
"38";"groundtruth1834.csv.641";0;0;0;0;0
"39";"groundtruth1834.csv.649";0;0;0;0;0
"40";"groundtruth1834.csv.700";0;0;0;1;1
"41";"groundtruth1834.csv.701";0;0;0;1;2
"42";"groundtruth1834.csv.702";0;0;0;1;0
"43";"groundtruth1834.csv.703";1;0;0;1;1
"44";"groundtruth1834.csv.710";2;1;0;2;1
"45";"groundtruth1834.csv.714";1;2;0;0;1
"46";"groundtruth1834.csv.730";1;0;0;2;1
"47";"groundtruth1834.csv.732";0;0;0;0;0
"48";"groundtruth1834.csv.735";0;0;0;0;1
"49";"groundtruth1834.csv.737";0;0;0;0;0
"50";"groundtruth1834.csv.741";0;0;0;0;0
"51";"groundtruth1834.csv.748";0;0;0;1;1
"52";"groundtruth1834.csv.756";0;0;0;1;1
"53";"groundtruth1834.csv.768";0;0;0;0;1
"54";"groundtruth1834.csv.843";0;0;0;0;0
"55";"groundtruth1834.csv.847";0;0;0;2;0
"56";"groundtruth1834.csv.853";0;0;0;0;0
"57";"groundtruth1834.csv.886";0;0;0;0;0
"58";"groundtruth1834.csv.917";0;0;0;2;0
"59";"groundtruth1834.csv.930";0;3;0;2;0
"60";"groundtruth1834.csv.934";2;2;0;2;0
"61";"groundtruth1834.csv.936";0;0;0;1;0
"62";"groundtruth1834.csv.939";0;0;0;0;0
"63";"groundtruth1834.csv.943";0;0;0;0;1
"64";"groundtruth1834.csv.948";1;0;0;1;1
"65";"groundtruth1834.csv.950";0;0;0;1;2
"66";"groundtruth1834.csv.951";0;0;0;1;0
"67";"groundtruth1834.csv.952";1;0;0;1;1
"68";"groundtruth1834.csv.958";2;1;0;2;1
"69";"groundtruth1834.csv.1040";0;0;0;1;0
"70";"groundtruth1834.csv.1059";0;0;0;1;0
"71";"groundtruth1834.csv.1062";1;1;0;2;0
"72";"groundtruth1834.csv.1063";1;0;0;1;0
"73";"groundtruth1834.csv.1067";0;0;0;0;1
"74";"groundtruth1834.csv.1079";0;0;0;1;0
"75";"groundtruth1834.csv.1107";0;3;1;0;1
"76";"groundtruth1834.csv.1112";0;0;0;1;0
"77";"groundtruth1834.csv.1126";4;3;0;6;4
"78";"groundtruth1834.csv.1129";2;3;0;4;0
"79";"groundtruth1834.csv.1131";1;0;0;2;0
"80";"groundtruth1834.csv.1254";2;2;0;2;3
"81";"groundtruth1834.csv.1260";0;1;0;2;0
"82";"groundtruth1834.csv.1264";0;0;0;1;0
"83";"groundtruth1834.csv.1272";0;1;0;2;0
"84";"groundtruth1834.csv.1283";2;0;1;3;0
"85";"groundtruth1834.csv.1284";0;1;1;0;0
"86";"groundtruth1834.csv.1289";0;1;1;1;3
"87";"groundtruth1834.csv.1301";0;0;0;1;0
"88";"groundtruth1834.csv.1408";0;0;0;0;0
"89";"groundtruth1834.csv.1447";0;0;1;3;1
"90";"groundtruth1834.csv.1448";1;2;0;3;1
"91";"groundtruth1834.csv.1449";0;0;0;0;0
"92";"groundtruth1834.csv.1459";1;2;0;2;0
"93";"groundtruth1834.csv.1460";2;2;0;4;4
"94";"groundtruth1834.csv.1465";2;1;0;3;0
"95";"groundtruth1834.csv.1483";2;1;0;2;3
"96";"groundtruth1834.csv.1486";0;0;0;1;0
"97";"groundtruth1834.csv.1487";0;0;0;1;0
"98";"groundtruth1834.csv.1492";0;1;0;2;0
"99";"groundtruth1834.csv.1500";0;0;0;0;0
"100";"groundtruth1834.csv.1618";0;0;0;1;0
"101";"groundtruth1834.csv.1643";2;0;0;4;1
"102";"groundtruth1834.csv.1650";2;1;0;2;0
"103";"groundtruth1834.csv.1651";0;0;0;1;0
"104";"groundtruth1834.csv.1660";0;0;0;0;1
"105";"groundtruth1834.csv.1667";0;1;1;2;0
"106";"groundtruth1834.csv.1672";0;0;0;1;0
"107";"groundtruth1834.csv.1768";0;1;0;0;1
"108";"groundtruth1834.csv.1769";2;2;0;2;1
"109";"groundtruth1834.csv.1771";0;0;0;1;1
"110";"groundtruth1834.csv.1777";0;0;0;0;0
"111";"groundtruth1834.csv.1822";0;0;1;1;2
"112";"groundtruth1834.csv.1829";2;0;0;1;0
"113";"groundtruth1834.csv.1833";1;1;1;2;1
"114";"groundtruth1834.csv.1834";1;1;1;5;2
"115";"groundtruth1834.csv.1845";0;0;0;0;0
"116";"groundtruth1834.csv.1859";2;0;0;4;1
"117";"groundtruth1834.csv.1865";0;1;0;0;1
"118";"groundtruth1834.csv.1866";0;0;0;1;1
"119";"groundtruth1834.csv.1977";1;0;0;1;1
"120";"groundtruth1834.csv.1989";0;0;0;0;0
"121";"groundtruth1834.csv.2003";0;0;0;0;0
"122";"groundtruth1834.csv.2006";0;0;0;1;0
"123";"groundtruth1834.csv.2032";1;0;1;3;1
"124";"groundtruth1834.csv.2046";1;1;1;1;1
"125";"groundtruth1834.csv.2066";0;0;1;1;2
"126";"groundtruth1834.csv.2073";2;0;0;1;0
"127";"groundtruth1834.csv.2075";1;1;1;2;1
"128";"groundtruth1834.csv.2076";1;1;1;5;2
"129";"groundtruth1834.csv.2077";0;0;0;1;1
"130";"groundtruth1834.csv.2084";0;0;0;0;0
"131";"groundtruth1834.csv.2099";1;0;0;1;1
"132";"groundtruth1834.csv.2100";0;0;0;1;1
"133";"groundtruth1834.csv.2199";0;0;0;0;0
"134";"groundtruth1834.csv.2214";0;0;0;1;0
"135";"groundtruth1834.csv.2243";1;1;0;1;1
"136";"groundtruth1834.csv.2251";1;0;0;1;0
"137";"groundtruth1834.csv.2254";2;2;0;1;0
"138";"groundtruth1834.csv.2267";1;2;4;8;2
"139";"groundtruth1834.csv.2270";1;0;1;3;1
"140";"groundtruth1834.csv.2281";1;1;1;1;1
"141";"groundtruth1834.csv.2306";0;0;0;1;1
"142";"groundtruth1834.csv.2405";0;0;0;0;1
"143";"groundtruth1834.csv.2438";1;0;0;1;0
