id,text,date,isheader,noadvert,page,readingorder
56fced9a-0f29-5961-8c69-5d451b1179d4/t0,"<p>Es wird zum Verkauf angetragen:</p>","1794-01-30","1","","47","0"
56fced9a-0f29-5961-8c69-5d451b1179d4/t1,"<p>1. Ein noch gar wohlconditionirtes schwar- 3es seidenes Mantelet und Junte, im Be- richthaus in Commißion zu haben.</p>","1794-01-30","","","47","1"
56fced9a-0f29-5961-8c69-5d451b1179d4/t2,"<p>12. Ein grauer tüchener Burger-Mantehfür eine kleine Person.</p>","1794-01-30","","","47","2"
56fced9a-0f29-5961-8c69-5d451b1179d4/t3,"<p>3. Einer der beßten Mannenstze im Münster gegen der Kanzel über, zu verkaufen oder zu verleihen.</p>","1794-01-30","","","47","3"
56fced9a-0f29-5961-8c69-5d451b1179d4/t4,"<p>4. Ein Wagenvoll verwährter Bau, am untern Heuberg bey Hrn. Burkhardt zum Gemsenberg.</p>","1794-01-30","","","47","4"
56fced9a-0f29-5961-8c69-5d451b1179d4/t5,"<p>5. Von der bekannten ertra guten weissen Seife, die der Marseillaner in der Güte gleich, ist wiederum Tafelnweis von 5 à 6 Pfund, das . à 5 Batzen, und der Cent- .ner à fl. 35 zu haben; auch vom beßten al ten Kirschwasser, die alte halbe Maas sam der Bouteille à 12 Batgen; bey Hrn. J. J. Elsner an der Gerbergaß.</p>","1794-01-30","","","47","5"
56fced9a-0f29-5961-8c69-5d451b1179d4/t6,"<p>6. Eine Obligation von 450 Pfund, welch sehr gute Unterpfänder hat, und zu 5 peg Cro. verztnset wird: eine dito von 140  welche ebenfalls zu 5 per Cto. verzinsei wird; erstere von Huttigen, und die zweyte  von Alschwyl. Weilen dies Geld, so da raus erlöset würde, zu etwas anderm be.- stimmt ist, so würde man sich gefallen laßn sen, demjenigen, welcher beyde nehmen würde, vortheilhafte Bedingnisse zu ma chen. Ist sich deßhab im Berichthaus zu erkundigen.</p>","1794-01-30","","","47","6"
56fced9a-0f29-5961-8c69-5d451b1179d4/t7,"<p>7. Bey Hrn. Joh. Jatob Freyler snd fol- gende Bücher zu haben: Justy scherzhafte und satyrische Brtefe, 3 Bde. gr. 8. fl. 1. Gellerts Briefe. 24 kr. Dessen Leben. 20kr. Wrelands kleinere Werke. 20 k.Scmol- kens Gebetbuch. fl. 1. 20 kr. Zolikofers Weyhrauch- Schatz fl1 Blumengärtkein. 20 kr. Morgen- und Abendgebeter von ei- nem berühmten Geistlichen. 12 kr. Lange Regiments-Kalender. 10 kr. Sack-Kalen- der 12. kr. Nachtmnahlbüchlein. 6 kr. Namenhüchlein auf Schreibapier. 6 kr. Aller Sorten Schreibbücher, feines Post- und Schreibpapier, gefärbtes Papier, Pap- vendeckel, und andere Articket.</p>","1794-01-30","","","47","7"
56fced9a-0f29-5961-8c69-5d451b1179d4/t9,"<p>8. Bey Hrn. J. J. Freyler an der Schnei- el dergaß ist angelangt und zu haben: Von drr allerfeinsten Sorte röthes Stegellack, rechte gute Schreibfedern und Bleystift, ertra feine Sackmesser; Federtesser und Scheeren, englische Streichleder, Porte- feuille, schöne Uhrenband mt und ohne Schlüssel, Stockband, ertra schöne Her- en- und Frauenzimmer.Tabatieren, schö- ne Schreibzeug, Fristrn und andere Kämm, grosse und kleine Puderguatschen, Uhren, Berloguen, Etuts, Madelbüchslein, Spie- geleinz nebst aller Sorten Kindersachen; wte auch feine harte und weiche Pomma- de, mebst vielen ander rtickein, um sehr bilge Preise</p>","1794-01-30","","","47","9"
56fced9a-0f29-5961-8c69-5d451b1179d4/t10,"<p>9. Fran Wittb Burkhardt, wohnhaft am Spttahlihrung bey Mür. Roth, jüunger, hat verfertigte Beinkleider für Frauenzum- lmer; bttet um geneigten Zuspruch.</p>","1794-01-30","","","47","10"
3b5f71ec-9891-5f5c-b7ed-2b1e4e401dcb/t0,"<p>10. Ohngefehr 30 Saum weisfer 91ger Edel- wein, wovpn Führlingweis zu haben; auch ist noch von unterschiedlichen rothen ange- rochenen Weinen ben Hrn. cenn, Wein- mann, zu haben.</p>","1794-01-30","","","48","0"
3b5f71ec-9891-5f5c-b7ed-2b1e4e401dcb/t1,"<p>1. Am Sägergäßlein bey Hrn. Mstr. Me- rian kann man gebrannten Sips haben.</p>","1794-01-30","","","48","1"
3b5f71ec-9891-5f5c-b7ed-2b1e4e401dcb/t2,"<p>12. Bey Hrn. Schpler auf der Rheinbruck ind folgende Bücher zu haben: Ifelins Lericon, wohl conditionirt, in Franzbd. 4 Bde. Der wohldestellte Stallmeister,  Kf. Beschreing aller Thiere und Logel, mit vielen Küyfern. Merians To pographie von Mainz, Trier, Cölln, West- phalen, Franken, Hefen, Bayern und Elsaß, alle wohl conditionirt Monumen. a Paderbornenses, sehr schön, mit Kpf. Der olkommene Constabler. Merkwür- digkeit von Brandenburg. Trollingers Ge- n. dichte, nebst Jonson Atlas minarn .</p>","1794-01-30","","","48","2"
3b5f71ec-9891-5f5c-b7ed-2b1e4e401dcb/t3,"<p>13. Bey Hrn. J. J. Stupanus, Buchbin- der neben der Blume, ist zu haben: Nou.- neau Ecadrier de la repubigque frangcise, relié à 12 xr. Der nemliche anf deutsch. Reujahrsgeschenk sr die liebe Jugend, in Brtefen. 8. 6 kr. Lavaters Regeln für Kinder. 12 kr. Ausgewählte Gesänge mit Mrlodien, von Joh. Conrad Pfenninger, 3 Thle. 8.</p>","1794-01-30","","","48","3"
3b5f71ec-9891-5f5c-b7ed-2b1e4e401dcb/t4,"<p>14. In der Schweighauserischen Buchhand, lung ahter ist zu haben: Freymüthige Ge- danken über die alerwichtigste Angelegen- heit Deutschlands. 8. 794. ßl. 1. 20 kr. Bemerkungen über Menschen und Sitten, auf einer Reise durch Franken, Schwa- ben, Bayern und Oesterreich. 8. 794. fl. 1. 36 kr. Prosaische Schwänke aus den Zei- ten der Minneflnger, herausgegeben vom Adt Gottschalk in St. Galten. 793. fl. 1. 4 kr. Irmgard von Haffelburg, Ritterge- schichte aus den Zeiten Heinrichs des Lö- wen, 2 Thle. 8 793. fl. 2. 6 kr. Kleine  Eeometrte fürKtnder und Jünglinge, mit Krf. 8. 794. 54 kr. Blicke ins Morgen- land, eine Geschichte. 8. 793. 36 tr. So- tratische Gespräche zur Einlettung und Er- länterung des Bahrdtischen Katechismus der znalürlchen Belglon. 8.83. fß. 8 3or,</p>","1794-01-30","","","48","4"
3b5f71ec-9891-5f5c-b7ed-2b1e4e401dcb/t5,"<p>l15. Eine Glasthüre von zween Fügeln, noch neu, 8 Schuh hoch, 5 dito breit, mit 20 Scheiben, samt Fischbanb, Schloß und Riegtl, auch die Fenster avart beschla- gen, und schön grün angestrichen.</p>","1794-01-30","","","48","5"
3b5f71ec-9891-5f5c-b7ed-2b1e4e401dcb/t6,"<p>16. Bey Hrn. Alerander Scherrer auf der Eisengaß ind wiederum frische St. Galler- würste und Schübling zu haben.</p>","1794-01-30","","","48","6"
3b5f71ec-9891-5f5c-b7ed-2b1e4e401dcb/t7,"<p>17. Ohngefehr 200 Centner vom beßten Hen, frey in die Stadt zu liesern, und 20 Säck Haber.</p>","1794-01-30","","","48","7"
3b5f71ec-9891-5f5c-b7ed-2b1e4e401dcb/t8,"<p>18. In Emanuel Thurneysens Buchhandlnng ahier ist zu haben: Theater-Kalender auf das Jahr 1794. fl. 1. 48 kr.</p>","1794-01-30","","","48","8"
3b5f71ec-9891-5f5c-b7ed-2b1e4e401dcb/t9,"<p>19 Im Berichthaus ist in Commißion zu haden: Einige Stück selbstgemachter guter Kölsch; flächsenes Tuch mit rothen. Listen, zu Servietten; einige Sorten graues ftächsenes Tuch; einige Dutzend seidene Strümpfe von verschiedenen Farben, das .Paar à 54 Baten. Auch ist in Eommißion eine goldene Uhr mit doppeltem Gehäus, ein silbervergoldter Degen, ein dito ganz silberner, ein dito Hirschfänger, und ein schöner Herrenstoß von rusischem Zobdel, wie auch weisse und marmorirte Seife, à 6 Batzen das . Tafelnweis zu haben.</p>","1794-01-30","","","48","9"
3b5f71ec-9891-5f5c-b7ed-2b1e4e401dcb/t10,"<p>20. Bey Hrn. Bilhelm Haas, dem Sohne, auf dem Leonhardsgraben, hat so eben die Presfe verlassen und sind zu haben: Mou- veau decacrier pour Pan second de Ia ré- publigne frangaise, in-8. nvc les nouveau noms  les di devoirs dn republicain frangais, relie. enemplaire à 12 xr. E la Cou- aine à femilles ouvertes à f. 1. 36 xr. Fer- ners der gleiche neue französische Kalender mit denen nenen Namen und den zehen Hauptpkichten eines fränkischen Republika- ners, in8. deutsch, gebunden das Erempl. à 12kr. und das Dutzend in offenen Bögen à ft. 1. 36 kr.</p>","1794-01-30","","","48","10"
3b5f71ec-9891-5f5c-b7ed-2b1e4e401dcb/t11,"<p>21. Bey Hrn. Bol, Buchbinder auf dem Kornmarkt, ist zu haben: das Angsburgt- sche evangelische Ministerium in Bilder und Schriften. Augsburg 1749. 2 Franzbände in-4. mit 20o schönen Portraits, worunter auch etliche, dir in Balen-Sanmlnng ge- hören, nebst elnigen andern Kuyfern. f. 8. elanges dhistoire naturelle, par Mr. A1- Ion du Lac. à L3on 1765. 8. 6 Vol. vec fg. sehr interessant für einen Liebhaber der Naturgeschichte. fl. 6. De Porta historia re- formationis ecclesiarum Raticarum. Lib. Il. Cur. Rt. 1771 1777. 4. compl. f. 4. 30 xr. Museum Helveticum. Turic. 1746-58. Part. 28. in 7 Bänden. in-8. fl. 6. M. H. He- rolds, dem Münzwergnügen gewiedmete Nedenstunden. Nürnberg 1774. 4. mit Kpf. fl. 2. 24 kr. Liebknecht Hassia subterraneer specimen. Gies.  Francf. 1730. 4. . fg. besonders nützlich für einen Liebhaber von Versteinerungen. fl. 2.</p>","1794-01-30","","","48","11"
63d148f9-abc0-5955-a37e-d9c5ec47c32e/t1,"<p>22. Bey Frau Wittib Oser auf dem Leon- hardsgraben ist ein ganzes Kerzen-Gewerb zu gegossenen und gezogenen Kerzen samt aller Zugehörde zu verkaufen.</p>","1794-01-30","","","49","1"
63d148f9-abc0-5955-a37e-d9c5ec47c32e/t2,"<p>23. Bey Hrn. Caspar Krug an der untern Freyenstraß ist um sehr billigen Preis zu haben: Frische kleine Corinthen, dito grofs- se Mertrauben, grosse italiänische Hasel- nuß, frische gelbe Simouille, frische reine Rudeln, feine reine Uimergerste, frische grosse holländische Häringe, Stück- und Dutzendweis, wie auch bey der Viertels- Tonne, frische Molleßisch, dito schöne gros- se Aachoin, und auch Kastanien.</p>","1794-01-30","","","49","2"
63d148f9-abc0-5955-a37e-d9c5ec47c32e/t3,"<p>23. Auf E. E. Zunft zu Kürschnern sind schs- ne Sechser- Wachsterzen, das I. à 16 Btz. zu haben.</p>","1794-01-30","","","49","3"
