"tags","frequency"
"1","05drucksachen",294
"12","01textilien,02hausrat,03lebensmittel,04schmuck,05drucksachen,06ding",7
"3","05drucksachen,06ding",6
"4","01textilien,05drucksachen",6
"5","05drucksachen,14finanz",6
"2","02hausrat,05drucksachen,06ding",4
"7","01textilien,02hausrat,03lebensmittel,05drucksachen,06ding",3
"6","01textilien,05drucksachen,06ding",2
"8","03lebensmittel,05drucksachen,06ding,08immo",1
"9","01textilien,03lebensmittel,04schmuck,05drucksachen,06ding",1
"10","10arbeitsstelle,05drucksachen",1
"11","05drucksachen,15lotterie",1
"13","03lebensmittel,05drucksachen",1
"14","05drucksachen,18uneindeutig",1
"15","05drucksachen,06ding,14finanz",1
